,标识符,机型,始发地,出发,到达
974,CES2965,A321,Changsha Huanghua Int'l (CSX / ZGHA),Tue 07:20PM CST,Tue 08:36PM CST
975,DKH1157,A321,Shanghai Hongqiao Int'l (SHA / ZSSS),Tue 06:16PM CST,Tue 08:31PM CST
976,GDC7159,B738,Beijing Capital Int'l (PEK / ZBAA),Tue 05:03PM CST,Tue 08:14PM CST
977,CCA1473,A320,Beijing Capital Int'l (PEK / ZBAA),Tue 04:46PM CST,Tue 07:58PM CST
978,HXA2643,CRJ9,Zhanjiang (ZHA / ZGZJ),Tue 07:17PM CST,Tue 07:55PM CST
979,CXA8343,B738,Quanzhou Jinjiang (JJN / ZSQZ),Tue 06:28PM CST,Tue 07:43PM CST
980,CSN3772,B738,Hengyang (HNY / ZGHY),Tue 06:24PM CST,Tue 07:40PM CST
981,EPA6310,B738,Yichang (YIH / ZHYC),Tue 04:50PM CST,Tue 07:37PM CST
982,CXA8369,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 05:27PM CST,Tue 07:32PM CST
983,CSN8250,B738,Changchun Longjia Int'l (CGQ / ZYCC),Tue 02:59PM CST,Tue 07:10PM CST
984,CSH9497,737,Shanghai Hongqiao Int'l (SHA / ZSSS),Tue 04:49PM CST,Tue 07:08PM CST
985,CSH9497,737,Shanghai Hongqiao Int'l (SHA / ZSSS),Tue 04:49PM CST,Tue 07:08PM CST
986,CSN3734,B738,Beijing Daxing International Airport (PKX / ZBAD),Tue 04:06PM CST,Tue 07:04PM CST
987,CDG4805,B738,Wenzhou Int'l (WNZ / ZSWZ),Tue 05:12PM CST,Tue 07:01PM CST
988,CCA4055,B737,Yinchuan Helanshan (INC / ZLIC),Tue 04:02PM CST,Tue 06:53PM CST
989,CSH9215,B738,Shanghai Pudong Int'l (PVG / ZSPD),Tue 04:10PM CST,Tue 06:39PM CST
990,CSN8702,B738,Luzhou (LZO / ZULZ),Tue 04:21PM CST,Tue 06:02PM CST
991,CDG8841,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Tue 04:29PM CST,Tue 05:59PM CST
992,CHH7471,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 03:45PM CST,Tue 05:49PM CST
993,CES2341,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 03:15PM CST,Tue 05:41PM CST
994,CSZ8315,B738,Nanjing Lukou Int'l (NKG / ZSNJ),Tue 03:17PM CST,Tue 05:33PM CST
995,CCA4391,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Tue 03:32PM CST,Tue 05:30PM CST
996,CSN8966,B738,Beijing Daxing International Airport (PKX / ZBAD),Tue 02:21PM CST,Tue 05:17PM CST
997,CSN3759,B738,Wuhan Tianhe (WUH / ZHHH),Tue 02:49PM CST,Tue 04:29PM CST
998,CSN6247,A320,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Tue 02:04PM CST,Tue 04:14PM CST
999,CSN6581,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Tue 01:59PM CST,Tue 04:10PM CST
1000,CES9768,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Tue 01:55PM CST,Tue 04:07PM CST
1001,CSN3732,B738,Beijing Daxing International Airport (PKX / ZBAD),Tue 01:04PM CST,Tue 04:02PM CST
1002,CSZ8310,A320,Ningbo Lishe Int'l (NGB / ZSNB),Tue 01:43PM CST,Tue 03:49PM CST
1003,CSZ8310,A320,Ningbo Lishe Int'l (NGB / ZSNB),Tue 01:43PM CST,Tue 03:49PM CST
1004,CSN3762,B738,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 01:23PM CST,Tue 03:40PM CST
1005,SNG4301,A321,Hefei Xinqiao Airport (HFE / ZSOF),Tue 12:53PM CST,Tue 03:08PM CST
1006,CJX8976,B738,Taiyuan Wusu (TYN / ZBYN),Tue 12:08PM CST,Tue 03:05PM CST
1007,CSN3690,B738,Shanghai Pudong Int'l (PVG / ZSPD),Tue 12:37PM CST,Tue 03:01PM CST
1008,CSH9297,737,Jieyang Chaoshan International Airport (SWA / ZGOW),Tue 01:53PM CST,Tue 02:56PM CST
1009,CSN6619,A320,Jinan Yaoqiang (TNA / ZSJN),Tue 12:14PM CST,Tue 02:52PM CST
1010,CDG2189,B738,Hefei Xinqiao Airport (HFE / ZSOF),Tue 12:32PM CST,Tue 02:44PM CST
1011,CCA8663,A321,Beijing Capital Int'l (PEK / ZBAA),Tue 11:35AM CST,Tue 02:39PM CST
1012,CDG1157,B738,Beijing Capital Int'l (PEK / ZBAA),Tue 11:13AM CST,Tue 02:29PM CST
1013,CUA2385,737,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Tue 11:26AM CST,Tue 02:26PM CST
1014,CBG8978,A320,Luoyang (LYA / ZHLY),Tue 12:14PM CST,Tue 02:19PM CST
1015,CSN3846,B738,Haikou Meilan Int'l (HAK / ZJHK),Tue 01:23PM CST,Tue 02:07PM CST
1016,CSN3730,B738,Ningbo Lishe Int'l (NGB / ZSNB),Tue 11:51AM CST,Tue 02:01PM CST
1017,CXA8355,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Tue 12:20PM CST,Tue 01:43PM CST
1018,CSC8063,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Tue 11:35AM CST,Tue 01:35PM CST
1019,CCA1479,A321,Beijing Capital Int'l (PEK / ZBAA),Tue 10:20AM CST,Tue 01:31PM CST
1020,CXA8559,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Tue 12:20PM CST,Tue 01:28PM CST
1021,CXA8559,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Tue 12:20PM CST,Tue 01:28PM CST
1022,CSN6292,B738,Wuhan Tianhe (WUH / ZHHH),Tue 11:46AM CST,Tue 01:25PM CST
1023,CCA1433,73K,Beijing Daxing International Airport (PKX / ZBAD),Tue 10:15AM CST,Tue 01:18PM CST
1024,CDC8087,A320,Xuzhou (XUZ / ZSXZ),Tue 10:50AM CST,Tue 01:11PM CST
1025,CDC8637,A320,Jinggangshan (JGS / ZSJA),Tue 11:50AM CST,Tue 01:02PM CST
1026,CSN8939,A321,Beijing Daxing International Airport (PKX / ZBAD),Tue 10:01AM CST,Tue 12:57PM CST
1027,CSC8721,A319,Xichang Qingshan (XIC / ZUXC),Tue 10:55AM CST,Tue 12:55PM CST
1028,EPA6276,B738,Quanzhou Jinjiang (JJN / ZSQZ),Tue 11:38AM CST,Tue 12:48PM CST
1029,OKA2705,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 10:26AM CST,Tue 12:36PM CST
1030,CCA4559,B737,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 10:54AM CST,Tue 12:33PM CST
1031,CSN6439,A320,Qingdao Liuting Int'l (TAO / ZSQD),Tue 09:24AM CST,Tue 12:30PM CST
1032,CSN3790,B738,Kunming Changshui Int'l (KMG / ZPPP),Tue 10:57AM CST,Tue 12:27PM CST
1033,CHH7557,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Tue 10:15AM CST,Tue 12:24PM CST
1034,CSN3774,B738,Changde Taohuayuan (CGD / ZGCD),Tue 10:51AM CST,Tue 12:20PM CST
1035,CDG2155,B738,Haikou Meilan Int'l (HAK / ZJHK),Tue 11:11AM CST,Tue 11:57AM CST
1036,CES6415,A320,Wenzhou Int'l (WNZ / ZSWZ),Tue 10:08AM CST,Tue 11:52AM CST
1037,CDG4709,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Tue 09:26AM CST,Tue 11:42AM CST
1038,GCR7809,A320,Longyan Guanzhishan (LCX / ZSLD),Tue 10:13AM CST,Tue 11:27AM CST
1039,CES2791,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Tue 09:08AM CST,Tue 11:19AM CST
1040,CXA8555,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 09:35AM CST,Tue 11:15AM CST
1041,CSH9513,B738,Shanghai Hongqiao Int'l (SHA / ZSSS),Tue 08:48AM CST,Tue 11:12AM CST
1042,CDG4909,B738,Nanchang Changbei Int'l (KHN / ZSCN),Tue 09:36AM CST,Tue 11:10AM CST
1043,GCR7675,A320,Ganzhou Huangjin (KOW / ZSGZ),Tue 09:50AM CST,Tue 10:57AM CST
1044,CCA1619,B737,Tianjin Binhai Int'l (TSN / ZBTJ),Tue 07:50AM CST,Tue 10:51AM CST
1045,UEA2233,A320,Zunyi (ZYI / ZUZY),Tue 09:05AM CST,Tue 10:29AM CST
1046,CSZ9529,B738,Wuxi (WUX / ZSWX),Tue 07:56AM CST,Tue 10:26AM CST
1047,CSN3740,B738,Beijing Daxing International Airport (PKX / ZBAD),Tue 07:16AM CST,Tue 10:14AM CST
1048,CHH7619,B738,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 07:45AM CST,Tue 10:11AM CST
1049,CSN3845,B738,Wuhan Tianhe (WUH / ZHHH),Tue 08:22AM CST,Tue 10:07AM CST
1050,DKH1159,A320,Shanghai Pudong Int'l (PVG / ZSPD),Tue 07:19AM CST,Tue 10:01AM CST
1051,CES7867,B738,Kunming Changshui Int'l (KMG / ZPPP),Tue 08:05AM CST,Tue 09:42AM CST
