,标识符,机型,始发地,出发,到达
904,ICV6755,B748,Kuala Lumpur Int'l (KUL / WMKK),Sat 09:38AM +08,Sat 01:02PM HKT
905,AHK3713,A332,Near Shanghai,Sat 10:42AM CST,Sat 12:51PM HKT
906,AAL9742,B773,Narita Int'l (NRT / RJAA),Sat 09:09AM JST,Sat 12:47PM HKT
907,UAE9284,B772,Dubai Int'l (DXB / OMDB),Sat 02:15AM +04,Sat 12:40PM HKT
908,HKC332,A332,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Sat 10:05AM +07,Sat 01:14PM HKT
909,CPA906,A359,Manila Int'l (MNL / RPLL),Sat 11:31AM PST,Sat 01:04PM HKT
910,ICV6755,B748,Kuala Lumpur Int'l (KUL / WMKK),Sat 09:38AM +08,Sat 01:02PM HKT
911,AHK3713,A332,Near Shanghai,Sat 10:42AM CST,Sat 12:51PM HKT
912,AAL9742,B773,Narita Int'l (NRT / RJAA),Sat 09:09AM JST,Sat 12:47PM HKT
913,UAE9284,B772,Dubai Int'l (DXB / OMDB),Sat 02:15AM +04,Sat 12:40PM HKT
914,CPA431,A333,Kaohsiung Int'l (KHH / RCKH),Sat 11:08AM CST,Sat 12:15PM HKT
915,CAL909,A333,Taiwan Taoyuan Int'l (TPE / RCTP),Sat 10:45AM CST,Sat 12:12PM HKT
916,ICV5735,B744,Narita Int'l (NRT / RJAA),Sat 08:21AM JST,Sat 11:47AM HKT
917,AIQ9000,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Sat 07:59AM +07,Sat 11:05AM HKT
918,ATN2104,B763,Darwin Int'l / RAAF (DRW / YPDN),Sat 07:16AM ACST,Sat 11:01AM HKT
919,SIA890,A359,Singapore Changi (SIN / WSSS),Sat 07:46AM +08,Sat 10:59AM HKT
920,AIQ9000,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Sat 07:59AM +07,Sat 11:05AM HKT
921,ATN2104,B763,Darwin Int'l / RAAF (DRW / YPDN),Sat 07:16AM ACST,Sat 11:01AM HKT
922,SIA890,A359,Singapore Changi (SIN / WSSS),Sat 07:46AM +08,Sat 10:59AM HKT
923,CPA3218,B744,Bengaluru Int'l (BLR / VOBL),Sat 03:15AM IST,Sat 10:44AM HKT
924,CPA51,B744,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Sat 08:35AM CST,Sat 10:35AM HKT
925,GTI9435,B744,Incheon Int'l (ICN / RKSI),Sat 07:46AM KST,Sat 10:06AM HKT
926,PAL300,A321,Manila Int'l (MNL / RPLL),Sat 08:18AM PST,Sat 09:59AM HKT
927,HKC830,A332,Shanghai Pudong Int'l (PVG / ZSPD),Sat 07:37AM CST,Sat 09:48AM HKT
928,CPA18,B744,Bandaranaike Int'l (CMB / VCBI),Sat 02:18AM +0530,Sat 09:41AM HKT
929,CLX7005,B744,Novosibirsk Tolmachevo (OVB / UNNT),Sat 02:53AM +07,Sat 09:39AM HKT
930,CAL903,A333,Taiwan Taoyuan Int'l (TPE / RCTP),Sat 08:09AM CST,Sat 09:31AM HKT
931,CLX7404,B748,Kuala Lumpur Int'l (KUL / WMKK),Sat 06:07AM +08,Sat 09:28AM HKT
932,AHK721,A306,Chengdu Shuangliu Int'l (CTU / ZUUU),Sat 07:28AM CST,Sat 09:20AM HKT
933,CLX7005,B744,Novosibirsk Tolmachevo (OVB / UNNT),Sat 02:53AM +07,Sat 09:39AM HKT
934,CAL903,A333,Taiwan Taoyuan Int'l (TPE / RCTP),Sat 08:09AM CST,Sat 09:31AM HKT
935,CLX7404,B748,Kuala Lumpur Int'l (KUL / WMKK),Sat 06:07AM +08,Sat 09:28AM HKT
936,AHK721,A306,Chengdu Shuangliu Int'l (CTU / ZUUU),Sat 07:28AM CST,Sat 09:20AM HKT
937,CPA726,A359,Tan Son Nhat Int'l (SGN / VVTS),Sat 06:10AM +07,Sat 09:05AM HKT
938,CPA3253,B748,Shanghai Pudong Int'l (PVG / ZSPD),Sat 06:29AM CST,Sat 08:37AM HKT
939,CPA632,B77W,Chennai Int'l (MAA / VOMM),Sat 01:17AM IST,Sat 08:27AM HKT
940,QTR8424,B772,Hamad Int'l (DOH / OTHH),Fri 08:52PM +03,Sat 08:20AM HKT
941,CPA694,B77W,Indira Gandhi Int'l (DEL / VIDP),Sat 01:10AM IST,Sat 07:45AM HKT
942,SOO8028,B77L,Incheon Int'l (ICN / RKSI),Sat 05:19AM KST,Sat 07:40AM HKT
943,CEB272,A330,Manila Int'l (MNL / RPLL),Sat 05:58AM PST,Sat 07:35AM HKT
944,UAE9882,B772,Dubai Int'l (DXB / OMDB),Fri 09:13PM +04,Sat 07:30AM HKT
945,UAL2852,B77W,Guam Intl (PGUM),Sat 05:10AM ChST,Sat 07:26AM HKT
946,HKC9072,A332,Shahjalal International Airport (DAC / VGHS),Sat 02:10AM +06,Sat 07:18AM HKT
947,CEB272,A330,Manila Int'l (MNL / RPLL),Sat 05:58AM PST,Sat 07:35AM HKT
948,UAE9882,B772,Dubai Int'l (DXB / OMDB),Fri 09:13PM +04,Sat 07:30AM HKT
949,UAL2852,B77W,Guam Intl (PGUM),Sat 05:10AM ChST,Sat 07:26AM HKT
950,HKC9072,A332,Shahjalal International Airport (DAC / VGHS),Sat 02:10AM +06,Sat 07:18AM HKT
951,UAE9840,B772,Dubai Int'l (DXB / OMDB),Fri 08:41PM +04,Sat 07:12AM HKT
952,CPA170,A35K,Perth Int'l (PER / YPPH),Sat 12:02AM AWST,Sat 07:03AM HKT
953,CPA796,A359,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Fri 11:48PM WIB,Sat 05:00AM HKT
954,BOX587,B77L,Incheon Int'l (ICN / RKSI),Sat 02:04AM KST,Sat 04:21AM HKT
955,CLX7654,B748,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Sat 01:12AM +07,Sat 04:19AM HKT
