,标识符,机型,始发地,出发,到达
63,CES2904,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 12:43AM CST,Wed 02:17AM CST
64,CES2952,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 09:30PM CST,Tue 11:13PM CST
65,CSC8108,A320,Qingdao Liuting Int'l (TAO / ZSQD),Tue 09:25PM CST,Tue 10:28PM CST
66,CSN6469,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 08:05PM CST,Tue 09:48PM CST
67,CDG8016,B738,Guiyang Longdongbao (KWE / ZUGY),Tue 07:30PM CST,Tue 09:19PM CST
68,CSN3351,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 07:30PM CST,Tue 09:12PM CST
69,CSC8432,A320,Haikou Meilan Int'l (HAK / ZJHK),Tue 06:51PM CST,Tue 09:05PM CST
70,CGZ7145,E190,Guiyang Longdongbao (KWE / ZUGY),Tue 05:53PM CST,Tue 07:50PM CST
71,CES2914,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Tue 05:34PM CST,Tue 07:01PM CST
72,CSC8326,A320,Fuzhou Changle Int'l (FOC / ZSFZ),Tue 05:27PM CST,Tue 06:36PM CST
73,CQH6174,A320,Jieyang Chaoshan International Airport (SWA / ZGOW),Tue 04:53PM CST,Tue 06:30PM CST
74,CSZ9652,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Tue 04:07PM CST,Tue 06:21PM CST
75,CSZ9350,A320,Harbin Taiping Int'l (HRB / ZYHB),Tue 03:13PM CST,Tue 06:08PM CST
76,CES2984,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 04:24PM CST,Tue 05:57PM CST
77,CSZ9675,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 05:50PM CST,10:13PM CST (?)
78,CSC8107,A320,Kunming Changshui Int'l (KMG / ZPPP),Tue 03:22PM CST,Tue 05:33PM CST
79,CSZ8734,A320,Changchun Longjia Int'l (CGQ / ZYCC),Tue 02:41PM CST,Tue 05:20PM CST
80,CSC8151,A320,Zhuhai Int'l (ZUH / ZGSD),Tue 03:16PM CST,Tue 05:06PM CST
81,CSN3637,E190,Ganzhou Huangjin (KOW / ZSGZ),Tue 03:40PM CST,Tue 05:00PM CST
82,CDG8015,B738,Qingdao Liuting Int'l (TAO / ZSQD),Tue 01:35PM CST,Tue 02:44PM CST
83,CSC8325,A320,Harbin Taiping Int'l (HRB / ZYHB),Tue 11:21AM CST,Tue 02:23PM CST
84,CES9782,A320,Taiyuan Wusu (TYN / ZBYN),Tue 12:37PM CST,Tue 02:19PM CST
85,CSC8593,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 11:58AM CST,Tue 01:42PM CST
86,CES2972,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 11:06AM CST,Tue 12:41PM CST
87,CQH6173,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Tue 10:16AM CST,Tue 12:30PM CST
88,CES2954,A320,Kunming Changshui Int'l (KMG / ZPPP),Tue 10:04AM CST,Tue 12:16PM CST
89,CES2969,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 10:37AM CST,Tue 12:11PM CST
90,CES2928,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Tue 10:09AM CST,Tue 11:31AM CST
91,CSZ9676,A320,Harbin Taiping Int'l (HRB / ZYHB),Tue 08:27AM CST,Tue 11:21AM CST
92,CDC8115,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 09:31AM CST,Tue 11:11AM CST
93,CSZ9651,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Tue 09:13AM CST,Tue 11:00AM CST
94,CCA4589,A321,Chengdu Shuangliu Int'l (CTU / ZUUU),Tue 08:12AM CST,Tue 10:10AM CST
95,CES9695,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Tue 08:06AM CST,Tue 10:01AM CST
96,CSZ8733,A320,Quanzhou Jinjiang (JJN / ZSQZ),Tue 08:36AM CST,Tue 09:56AM CST
97,CSZ9931,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Tue 07:37AM CST,Tue 09:30AM CST
98,CSZ9349,A320,Haikou Meilan Int'l (HAK / ZJHK),Tue 06:50AM CST,Tue 09:04AM CST
99,CES2904,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Mon 10:48PM CST,Tue 12:29AM CST
100,CES2952,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Mon 09:31PM CST,Mon 11:16PM CST
101,CES2948,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Mon 08:58PM CST,Mon 10:45PM CST
102,CSN6469,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Mon 08:19PM CST,Mon 10:02PM CST
103,CSC8108,A320,Qingdao Liuting Int'l (TAO / ZSQD),Mon 08:32PM CST,Mon 09:37PM CST
104,CSZ8967,B739,Shenzhen Bao'an Int'l (SZX / ZGSZ),Mon 07:50PM CST,Mon 09:32PM CST
105,CSC8432,A320,Haikou Meilan Int'l (HAK / ZJHK),Mon 06:50PM CST,Mon 09:03PM CST
106,CSN3351,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Mon 06:37PM CST,Mon 08:21PM CST
107,CSN3351,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Mon 06:37PM CST,Mon 08:21PM CST
108,CSZ9675,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Mon 05:52PM CST,Mon 07:40PM CST
109,CSC8326,A320,Fuzhou Changle Int'l (FOC / ZSFZ),Mon 06:22PM CST,Mon 07:25PM CST
110,CES2914,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Mon 05:42PM CST,Mon 07:02PM CST
111,CQH6174,A320,Jieyang Chaoshan International Airport (SWA / ZGOW),Mon 04:49PM CST,Mon 06:24PM CST
112,CES2984,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Mon 04:38PM CST,Mon 06:21PM CST
113,CSZ9652,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Mon 04:14PM CST,Mon 06:14PM CST
114,CSZ9350,A320,Harbin Taiping Int'l (HRB / ZYHB),Mon 03:17PM CST,Mon 05:56PM CST
115,CSZ8734,A320,Changchun Longjia Int'l (CGQ / ZYCC),Mon 02:56PM CST,Mon 05:29PM CST
116,CSN3637,E190,Ganzhou Huangjin (KOW / ZSGZ),Mon 03:58PM CST,Mon 05:25PM CST
117,CSC8107,A320,Kunming Changshui Int'l (KMG / ZPPP),Mon 03:09PM CST,Mon 05:21PM CST
118,CSC8151,A320,Zhuhai Int'l (ZUH / ZGSD),Mon 03:31PM CST,Mon 05:17PM CST
119,AMU108,A320,Macau Int'l (MFM / VMMC),Mon 02:00PM CST,Mon 03:59PM CST
120,CSC8325,A320,Harbin Taiping Int'l (HRB / ZYHB),Mon 11:18AM CST,Mon 01:58PM CST
121,CSC8593,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Mon 12:12PM CST,Mon 01:55PM CST
122,CES9782,A320,Taiyuan Wusu (TYN / ZBYN),Mon 12:14PM CST,Mon 01:46PM CST
