,标识符,机型,始发地,出发,到达
704,CSZ8518,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 07:15PM CST,Wed 09:03PM CST
705,CES2718,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 07:24PM CST,Wed 08:50PM CST
706,EPA6218,B738,Changchun Longjia Int'l (CGQ / ZYCC),Wed 06:08PM CST,Wed 08:46PM CST
707,CES9786,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 06:37PM CST,Wed 08:29PM CST
708,CSN3209,A330,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 06:01PM CST,Wed 08:20PM CST
709,CSC8625,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 05:48PM CST,Wed 08:04PM CST
710,CES2918,A321,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 05:58PM CST,Wed 08:02PM CST
711,DKH1907,A321,Huizhou Pingtan Airport (HUZ / ZGHZ),Wed 05:56PM CST,Wed 07:58PM CST
712,RLH6555,B733,Kunming Changshui Int'l (KMG / ZPPP),Wed 05:21PM CST,Wed 07:47PM CST
713,CSZ8161,A320,Yuncheng (YCU / ZBYC),Wed 06:06PM CST,Wed 07:46PM CST
714,DKH1854,A320,Sanya Phoenix Int'l (SYX / ZJSY),Wed 04:39PM CST,Wed 07:38PM CST
715,OTC7148,A321,Changchun Longjia Int'l (CGQ / ZYCC),Wed 04:53PM CST,Wed 07:33PM CST
716,CSZ9811,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 05:30PM CST,Wed 07:32PM CST
717,JYH1072,B738,Shenyang Taoxian Int'l (SHE / ZYTX),Wed 05:17PM CST,Wed 07:26PM CST
718,CSN3917,A21N,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 05:40PM CST,Wed 07:26PM CST
719,CSZ8524,A320,Guiyang Longdongbao (KWE / ZUGY),Wed 05:12PM CST,Wed 07:10PM CST
720,CES2738,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 05:26PM CST,Wed 07:07PM CST
721,CXA8537,B737,Fuzhou Changle Int'l (FOC / ZSFZ),Wed 05:50PM CST,Wed 07:05PM CST
722,CXA8537,B737,Fuzhou Changle Int'l (FOC / ZSFZ),Wed 05:50PM CST,Wed 07:05PM CST
723,CES2980,A321,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 04:53PM CST,Wed 06:22PM CST
724,OTC7251,A320,Changsha Huanghua Int'l (CSX / ZGHA),Wed 04:45PM CST,Wed 06:15PM CST
725,CSZ8542,B738,Yichang (YIH / ZHYC),Wed 04:56PM CST,Wed 06:11PM CST
726,DKH1848,A20N,Changsha Huanghua Int'l (CSX / ZGHA),Wed 04:45PM CST,Wed 06:07PM CST
727,CSZ9809,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 03:37PM CST,Wed 05:39PM CST
728,CES2702,A321,Qingdao Liuting Int'l (TAO / ZSQD),Wed 04:19PM CST,Wed 05:30PM CST
729,CES2850,A320,Zunyi (ZYI / ZUZY),Wed 03:50PM CST,Wed 05:24PM CST
730,CSZ9829,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 03:28PM CST,Wed 05:17PM CST
731,CES2934,A320,Zhanjiang (ZHA / ZGZJ),Wed 02:28PM CST,Wed 04:32PM CST
732,CSZ9825,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 02:20PM CST,Wed 04:06PM CST
733,CES9778,A320,Sanya Phoenix Int'l (SYX / ZJSY),Wed 12:49PM CST,Wed 03:54PM CST
734,CDC8739,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Wed 01:54PM CST,Wed 03:45PM CST
735,CSZ9159,B738,Beijing Capital Int'l (PEK / ZBAA),Wed 01:56PM CST,Wed 03:41PM CST
736,CES2712,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 01:57PM CST,Wed 03:28PM CST
737,CES2976,A320,Kunming Changshui Int'l (KMG / ZPPP),Wed 12:55PM CST,Wed 03:22PM CST
738,CSZ8917,A320,Huizhou Pingtan Airport (HUZ / ZGHZ),Wed 01:09PM CST,Wed 03:10PM CST
739,CSZ9807,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 01:00PM CST,Wed 03:05PM CST
740,CSZ9807,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 01:00PM CST,Wed 03:05PM CST
741,RYL368,A320,Manila Int'l (MNL / RPLL),Wed 11:56AM PST,Wed 02:58PM CST
742,QDA6131,A320,Penglai International (YNT / ZSYT),Wed 01:40PM CST,Wed 02:53PM CST
743,OTC7210,A320,Quanzhou Jinjiang (JJN / ZSQZ),Wed 01:22PM CST,Wed 02:37PM CST
744,CES2906,A321,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 12:16PM CST,Wed 02:20PM CST
745,DKH1846,A321,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 12:26PM CST,Wed 02:16PM CST
746,CSZ9540,B738,Taiyuan Wusu (TYN / ZBYN),Wed 12:15PM CST,Wed 02:04PM CST
747,CSZ9803,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 11:47AM CST,Wed 01:59PM CST
748,CSZ8516,B738,Nanning Wuxu Int'l (NNG / ZGNN),Wed 11:39AM CST,Wed 01:53PM CST
749,CSZ9530,B738,Zhuhai Int'l (ZUH / ZGSD),Wed 11:39AM CST,Wed 01:37PM CST
750,CES2768,A320,Beijing Daxing International Airport (PKX / ZBAD),Wed 11:51AM CST,Wed 01:36PM CST
751,CSZ9819,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 11:25AM CST,Wed 01:17PM CST
752,EPA6217,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 11:07AM CST,Wed 01:14PM CST
