,标识符,机型,始发地,出发,到达
2243,CES5154,B773,Beijing Capital Int'l (PEK / ZBAA),Fri 11:36AM CST,Fri 01:16PM CST
2244,CQH8918,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 11:40AM CST,Fri 01:12PM CST
2245,CDG4663,B738,Qingdao Liuting Int'l (TAO / ZSQD),Fri 11:55AM CST,Fri 01:08PM CST
2246,CSH9164,737,Taiyuan Wusu (TYN / ZBYN),Fri 11:16AM CST,Fri 01:06PM CST
2247,CSN3537,A21N,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 11:32AM CST,Fri 01:04PM CST
2248,CQH8836,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 11:22AM CST,Fri 12:55PM CST
2249,CES5693,A320,Luoyang (LYA / ZHLY),Fri 11:29AM CST,Fri 12:52PM CST
2250,CSH9536,737,Xiamen Gaoqi Int'l (XMN / ZSAM),Fri 11:38AM CST,Fri 12:49PM CST
2251,CES5108,B773,Beijing Capital Int'l (PEK / ZBAA),Fri 11:06AM CST,Fri 12:46PM CST
2252,CES2155,A332,Xi'an Xianyang Int'l (XIY / ZLXY),Fri 11:02AM CST,Fri 12:45PM CST
2253,CES9719,737,Lijiang (LJG / ZPLJ),Fri 10:22AM CST,Fri 12:41PM CST
2254,DKH1160,A320,Zhuhai Int'l (ZUH / ZGSD),Fri 10:54AM CST,Fri 12:36PM CST
2255,CXA8567,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Fri 11:23AM CST,Fri 12:34PM CST
2256,DKH1086,A320,Zunyi Maotai Airport (WMT / ZUMT),Fri 10:35AM CST,Fri 12:33PM CST
2257,CES5336,A332,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 10:52AM CST,Fri 12:33PM CST
2258,CSH9234,737,Qingdao Liuting Int'l (TAO / ZSQD),Fri 11:13AM CST,Fri 12:28PM CST
2259,CES5306,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:53AM CST,Fri 12:27PM CST
2260,TBA9865,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Fri 10:26AM CST,Fri 12:22PM CST
2261,CQH8820,A320,Zhuhai Int'l (ZUH / ZGSD),Fri 10:39AM CST,Fri 12:19PM CST
2262,CCA1531,B773,Beijing Capital Int'l (PEK / ZBAA),Fri 10:39AM CST,Fri 12:16PM CST
