,标识符,机型,始发地,出发,到达
3413,CCA8632,B738,Xining Caojiabu (XNN / ZLXN),Wed 11:28AM CST,Wed 01:22PM CST
3414,CCA8698,A321,Nantong (NTG / ZSNT),Wed 11:22AM CST,Wed 01:19PM CST
3415,CCA1652,A330,Shenyang Taoxian Int'l (SHE / ZYTX),Wed 11:50AM CST,Wed 01:18PM CST
3416,CHH7794,B738,Nanchang Changbei Int'l (KHN / ZSCN),Wed 11:21AM CST,Wed 01:15PM CST
3417,CCA1274,A320,Lanzhou Zhongchuan International (LHW / ZLLL),Wed 11:25AM CST,Wed 01:13PM CST
3418,CCA1344,A320,Changsha Huanghua Int'l (CSX / ZGHA),Wed 11:04AM CST,Wed 01:12PM CST
3419,CHH7612,B738,Shanghai Pudong Int'l (PVG / ZSPD),Wed 11:07AM CST,Wed 01:10PM CST
3420,CCA1330,B773,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 10:35AM CST,Wed 01:04PM CST
3421,CES5107,A333,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 11:12AM CST,Wed 01:02PM CST
3422,CES5107,A333,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 11:12AM CST,Wed 01:02PM CST
3423,GDC7670,B738,Yinchuan Helanshan (INC / ZLIC),Wed 11:12AM CST,Wed 12:58PM CST
3424,CCA4107,A333,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 10:20AM CST,Wed 12:57PM CST
3425,CHH7606,B789,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 11:01AM CST,Wed 12:56PM CST
3426,TBA9815,A319,Lhasa Gonggar (LXA / ZULS),Wed 09:29AM CST,Wed 12:55PM CST
3427,CCA1510,A330,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 11:06AM CST,Wed 12:55PM CST
3428,CCA1546,A320,Penglai International (YNT / ZSYT),Wed 11:42AM CST,Wed 12:55PM CST
3429,CCA1308,B789,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 10:11AM CST,Wed 12:53PM CST
3430,AAL9734,B789,Incheon Int'l (ICN / RKSI),Wed 11:51AM KST,Wed 12:47PM CST
3431,CSZ9103,B739,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 10:09AM CST,Wed 12:45PM CST
3432,CCA4101,A333,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 10:12AM CST,Wed 12:45PM CST
3433,CCA1132,A319,Hailar Dongshan (HLD / ZBLA),Wed 10:31AM CST,Wed 12:42PM CST
3434,CCA1118,A320,Hohhot Baita Int'l (HET / ZBHH),Wed 11:41AM CST,Wed 12:40PM CST
3435,CCA1806,B738,Jinggangshan (JGS / ZSJA),Wed 10:25AM CST,Wed 12:40PM CST
3436,CSC8885,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 09:58AM CST,Wed 12:39PM CST
3437,CCA1570,A320,Qingdao Liuting Int'l (TAO / ZSQD),Wed 11:16AM CST,Wed 12:37PM CST
3438,CES5155,A321,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 10:40AM CST,Wed 12:37PM CST
3439,CHH7122,B738,Hailar Dongshan (HLD / ZBLA),Wed 10:23AM CST,Wed 12:37PM CST
3440,CCA1610,73K,Changchun Longjia Int'l (CGQ / ZYCC),Wed 10:38AM CST,Wed 12:33PM CST
3441,CSZ9167,B738,Nanning Wuxu Int'l (NNG / ZGNN),Wed 09:33AM CST,Wed 12:30PM CST
3442,CCA1284,B738,Ulanhot (HLH / ZBUL),Wed 10:45AM CST,Wed 12:30PM CST
3443,CES5105,B773,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 10:23AM CST,Wed 12:27PM CST
3444,CHH7766,B738,Changchun Longjia Int'l (CGQ / ZYCC),Wed 10:32AM CST,Wed 12:26PM CST
3445,CCA1450,A333,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 10:27AM CST,Wed 12:25PM CST
3446,CDG4650,B738,Qingdao Liuting Int'l (TAO / ZSQD),Wed 10:52AM CST,Wed 12:23PM CST
3447,CCA1380,B773,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 09:56AM CST,Wed 12:20PM CST
3448,KNA8269,B738,Kunming Changshui Int'l (KMG / ZPPP),Wed 08:46AM CST,Wed 12:18PM CST
3449,CSH9157,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 10:03AM CST,Wed 12:16PM CST
3450,CHH7380,A333,Sanya Phoenix Int'l (SYX / ZJSY),Wed 09:05AM CST,Wed 12:15PM CST
3451,CCA8213,A320,Wuhan Tianhe (WUH / ZHHH),Wed 10:34AM CST,Wed 12:12PM CST
3452,CCA4131,A320,Guiyang Longdongbao (KWE / ZUGY),Wed 09:38AM CST,Wed 12:10PM CST
3453,CHH7712,B789,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 09:32AM CST,Wed 12:05PM CST
3454,CHH7138,A333,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 10:13AM CST,Wed 12:04PM CST
3455,CPA386,A333,Hong Kong Int'l (HKG / VHHH),Wed 09:21AM HKT,Wed 12:04PM CST
3456,CCA1614,B738,Yanji Chaoyangchuan (YNJ / ZYYJ),Wed 09:54AM CST,Wed 11:59AM CST
3457,CCA1306,A333,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 09:14AM CST,Wed 11:54AM CST
3458,CHH7108,B738,Yan'an (ENY / ZLYA),Wed 10:24AM CST,Wed 11:54AM CST
3459,CCA1854,B738,Ningbo Lishe Int'l (NGB / ZSNB),Wed 09:45AM CST,Wed 11:51AM CST
3460,CSZ9158,B738,Wuxi (WUX / ZSWX),Wed 09:47AM CST,Wed 11:47AM CST
3461,CSZ9152,B738,Xiangfan (XFN / ZHXF),Wed 10:14AM CST,Wed 11:46AM CST
3462,CES5153,A320,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 09:45AM CST,Wed 11:42AM CST
3463,CCA1278,B738,Lanzhou Zhongchuan International (LHW / ZLLL),Wed 09:45AM CST,Wed 11:41AM CST
3464,CHH7181,A333,Haikou Meilan Int'l (HAK / ZJHK),Wed 08:27AM CST,Wed 11:38AM CST
3465,CHH7618,B738,Wuhai (WUA / ZBUH),Wed 10:16AM CST,Wed 11:38AM CST
3466,CCA180,A330,Qingdao Liuting Int'l (TAO / ZSQD),Wed 10:14AM CST,Wed 11:33AM CST
3467,CCA1808,A321,Fuzhou Changle Int'l (FOC / ZSFZ),Wed 09:02AM CST,Wed 11:31AM CST
