,标识符,机型,始发地,出发,到达
4432,CUA5855,737,Beijing Daxing International Airport (PKX / ZBAD),Tue 07:22AM CST,Tue 10:19AM CST
4433,CXA8389,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 08:32AM CST,Tue 10:17AM CST
4434,CES2867,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Tue 07:54AM CST,Tue 10:16AM CST
4435,CSZ9816,B738,Wuxi (WUX / ZSWX),Tue 07:59AM CST,Tue 10:14AM CST
4436,CCA4337,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Tue 08:10AM CST,Tue 10:11AM CST
4437,CSZ9216,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 07:41AM CST,Tue 10:10AM CST
4438,CSN5416,A321,Jinan Yaoqiang (TNA / ZSJN),Tue 07:26AM CST,Tue 10:08AM CST
4439,CQH8917,A320,Shanghai Hongqiao Int'l (SHA / ZSSS),Tue 07:40AM CST,Tue 10:04AM CST
4440,CGZ7189,A320,Guiyang Longdongbao (KWE / ZUGY),Tue 08:37AM CST,Tue 10:03AM CST
4441,DKH1111,B789,Shanghai Hongqiao Int'l (SHA / ZSSS),Tue 07:38AM CST,Tue 09:59AM CST
4442,CCA1731,A330,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 08:08AM CST,Tue 09:58AM CST
4443,CSN3357,B738,Wuhan Tianhe (WUH / ZHHH),Tue 08:06AM CST,Tue 09:56AM CST
4444,CSN3357,B738,Wuhan Tianhe (WUH / ZHHH),Tue 08:06AM CST,Tue 09:56AM CST
4445,CSN6444,A320,Haikou Meilan Int'l (HAK / ZJHK),Tue 08:58AM CST,Tue 09:55AM CST
4446,CSZ9854,B738,Nanjing Lukou Int'l (NKG / ZSNJ),Tue 07:34AM CST,Tue 09:52AM CST
4447,CCA1893,A321,Shanghai Pudong Int'l (PVG / ZSPD),Tue 07:32AM CST,Tue 09:49AM CST
4448,CSN3280,B738,Xi'an Xianyang Int'l (XIY / ZLXY),Tue 07:17AM CST,Tue 09:47AM CST
4449,EPA6226,B738,Yiwu (YIW / ZSYW),Tue 07:41AM CST,Tue 09:45AM CST
4450,CSN6552,A21N,Kunming Changshui Int'l (KMG / ZPPP),Tue 08:08AM CST,Tue 09:45AM CST
4451,UEA2217,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Tue 07:45AM CST,Tue 09:41AM CST
4452,CES5761,B738,Kunming Changshui Int'l (KMG / ZPPP),Tue 08:00AM CST,Tue 09:39AM CST
4453,CSN3875,B738,Yiwu (YIW / ZSYW),Tue 07:46AM CST,Tue 09:39AM CST
4454,CXA8345,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 07:22AM CST,Tue 09:37AM CST
4455,CES2477,B738,Wuhan Tianhe (WUH / ZHHH),Tue 07:57AM CST,Tue 09:35AM CST
4456,CDC8737,A320,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 07:37AM CST,Tue 09:30AM CST
4457,CHH7556,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 07:50AM CST,Tue 09:25AM CST
4458,CSN3975,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Tue 07:19AM CST,Tue 09:23AM CST
4459,CCA4343,B789,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 07:42AM CST,Tue 09:18AM CST
4460,CSZ9432,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 07:39AM CST,Tue 09:17AM CST
4461,CSN8580,A321,Luzhou (LZO / ZULZ),Tue 07:25AM CST,Tue 09:08AM CST
4462,CSN3273,B738,Nanning Wuxu Int'l (NNG / ZGNN),Tue 08:04AM CST,Tue 09:06AM CST
4463,CDG1181,B738,Jinan Yaoqiang (TNA / ZSJN),Tue 06:30AM CST,Tue 09:04AM CST
4464,CSZ9440,B738,Kunming Changshui Int'l (KMG / ZPPP),Tue 07:30AM CST,Tue 09:01AM CST
4465,CSN3919,A321,Nanyang (NNY / ZHNY),Tue 07:13AM CST,Tue 08:58AM CST
4466,CSC8781,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 07:17AM CST,Tue 08:51AM CST
4467,CSN3992,A321,Dayong (DYG / ZGDY),Tue 07:01AM CST,Tue 08:32AM CST
4468,CSN3977,A330,Sanya Phoenix Int'l (SYX / ZJSY),Tue 07:13AM CST,Tue 08:30AM CST
4469,CSN3710,A321,Wenzhou Int'l (WNZ / ZSWZ),Tue 06:56AM CST,Tue 08:29AM CST
4470,CHH7592,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 06:33AM CST,Tue 08:25AM CST
4471,CSZ9330,B738,Zhanjiang (ZHA / ZGZJ),Tue 07:37AM CST,Tue 08:23AM CST
4472,EPA6228,B738,Wuhan Tianhe (WUH / ZHHH),Tue 06:41AM CST,Tue 08:21AM CST
4473,CHH7017,B738,Haikou Meilan Int'l (HAK / ZJHK),Tue 07:18AM CST,Tue 08:12AM CST
4474,CSZ9900,A320,Hefei Xinqiao Airport (HFE / ZSOF),Tue 06:11AM CST,Tue 08:01AM CST
4475,CHH7019,B738,Haikou Meilan Int'l (HAK / ZJHK),Tue 06:50AM CST,Tue 07:41AM CST
4476,CSZ9316,A320,Haikou Meilan Int'l (HAK / ZJHK),Tue 06:47AM CST,Tue 07:38AM CST
4477,EPA6260,B738,Haikou Meilan Int'l (HAK / ZJHK),Tue 06:20AM CST,Tue 07:09AM CST
4478,EPA6262,B738,Haikou Meilan Int'l (HAK / ZJHK),Tue 06:10AM CST,Tue 07:03AM CST
4479,EPA6260,B738,Haikou Meilan Int'l (HAK / ZJHK),Tue 06:20AM CST,Tue 07:09AM CST
4480,EPA6262,B738,Haikou Meilan Int'l (HAK / ZJHK),Tue 06:10AM CST,Tue 07:03AM CST
4481,CSS6889,73F,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 05:03AM CST,Tue 06:44AM CST
4482,CSS6940,73F,Nanjing Lukou Int'l (NKG / ZSNJ),Tue 02:41AM CST,Tue 04:44AM CST
4483,CSS6897,73F,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 02:25AM CST,Tue 04:10AM CST
4484,CSS6900,73F,Chongqing Jiangbei Int'l (CKG / ZUCK),Tue 01:27AM CST,Tue 03:01AM CST
4485,CSZ9136,B738,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Mon 11:58PM CST,Tue 02:31AM CST
4486,CSN3912,A320,Wuhan Tianhe (WUH / ZHHH),Tue 12:21AM CST,Tue 01:50AM CST
4487,EPA6208,B738,Shanghai Pudong Int'l (PVG / ZSPD),Mon 11:29PM CST,Tue 01:41AM CST
4488,DKH1151,B789,Shanghai Hongqiao Int'l (SHA / ZSSS),Mon 11:34PM CST,Tue 01:37AM CST
4489,CSZ9814,B738,Wuxi (WUX / ZSWX),Mon 11:24PM CST,Tue 01:34AM CST
4490,CSZ9408,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Mon 11:32PM CST,Tue 01:32AM CST
4491,CHH7749,B738,Sanya Phoenix Int'l (SYX / ZJSY),Tue 12:11AM CST,Tue 01:29AM CST
4492,CHB6229,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Mon 11:47PM CST,Tue 01:29AM CST
4493,YZR7536,B738,Guiyang Longdongbao (KWE / ZUGY),Tue 12:03AM CST,Tue 01:26AM CST
4494,CSZ9408,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Mon 11:32PM CST,Tue 01:32AM CST
4495,CHH7749,B738,Sanya Phoenix Int'l (SYX / ZJSY),Tue 12:11AM CST,Tue 01:29AM CST
4496,CHB6229,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Mon 11:47PM CST,Tue 01:29AM CST
4497,YZR7536,B738,Guiyang Longdongbao (KWE / ZUGY),Tue 12:03AM CST,Tue 01:26AM CST
4498,CSZ8980,B738,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 11:15PM CST,Tue 01:25AM CST
4499,CQH8510,A320,Yancheng (YNZ / ZSYN),Mon 10:49PM CST,Tue 01:21AM CST
4500,CHB6298,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 11:11PM CST,Tue 01:19AM CST
4501,CHH7060,B738,Nanchang Changbei Int'l (KHN / ZSCN),Mon 11:51PM CST,Tue 01:13AM CST
4502,CSZ9920,B738,Huangyan Luqiao (HYN / ZSLQ),Mon 11:21PM CST,Tue 01:12AM CST
4503,CHH7210,B738,Shanghai Pudong Int'l (PVG / ZSPD),Mon 10:47PM CST,Tue 01:09AM CST
4504,CHH7707,A333,Beijing Capital Int'l (PEK / ZBAA),Mon 10:07PM CST,Tue 01:07AM CST
4505,CHH7716,B738,Jinan Yaoqiang (TNA / ZSJN),Mon 10:22PM CST,Tue 01:03AM CST
4506,CSZ9894,A320,Hefei Xinqiao Airport (HFE / ZSOF),Mon 11:03PM CST,Tue 01:01AM CST
4507,CQH6420,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 10:54PM CST,Tue 01:00AM CST
4508,CSZ9910,B738,Wenzhou Int'l (WNZ / ZSWZ),Mon 11:18PM CST,Tue 12:58AM CST
4509,CSN6758,A330,Sanya Phoenix Int'l (SYX / ZJSY),Mon 11:42PM CST,Tue 12:56AM CST
4510,CQH6420,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 10:54PM CST,Tue 01:00AM CST
4511,CSZ9910,B738,Wenzhou Int'l (WNZ / ZSWZ),Mon 11:18PM CST,Tue 12:58AM CST
4512,CSN6758,A330,Sanya Phoenix Int'l (SYX / ZJSY),Mon 11:42PM CST,Tue 12:56AM CST
4513,CQH8656,A320,Nanchang Changbei Int'l (KHN / ZSCN),Mon 11:32PM CST,Tue 12:54AM CST
4514,CSZ8968,B739,Changzhou Benniu (CZX / ZSCG),Mon 10:36PM CST,Tue 12:52AM CST
4515,CSN6394,A321,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 10:26PM CST,Tue 12:50AM CST
4516,EPA6230,B738,Nanchang Changbei Int'l (KHN / ZSCN),Mon 11:14PM CST,Tue 12:48AM CST
4517,CSZ8703,A320,Quanzhou Jinjiang (JJN / ZSQZ),Mon 11:45PM CST,Tue 12:46AM CST
4518,YZR7530,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 10:30PM CST,Tue 12:45AM CST
4519,CSN8578,A321,Shenyang Taoxian Int'l (SHE / ZYTX),Mon 08:58PM CST,Tue 12:41AM CST
4520,CHH7013,B738,Haikou Meilan Int'l (HAK / ZJHK),Mon 11:42PM CST,Tue 12:40AM CST
4521,CSZ9518,A320,Shanghai Pudong Int'l (PVG / ZSPD),Mon 10:24PM CST,Tue 12:39AM CST
4522,EPA6216,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Mon 10:58PM CST,Tue 12:37AM CST
4523,EPA6256,B738,Nanchang Changbei Int'l (KHN / ZSCN),Mon 11:09PM CST,Tue 12:35AM CST
4524,CQH6288,A320,Shaoyang Wugang Airport (WGN / ZGSY),Mon 11:24PM CST,Tue 12:33AM CST
4525,CSN3956,A330,Haikou Meilan Int'l (HAK / ZJHK),Mon 11:37PM CST,Tue 12:30AM CST
4526,EPA6268,B738,Yancheng (YNZ / ZSYN),Mon 10:15PM CST,Tue 12:26AM CST
4527,EPA6240,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 10:24PM CST,Tue 12:23AM CST
4528,CSZ9632,A319,Yangzhou Taizhou (YTY / ZSYA),Mon 09:58PM CST,Tue 12:20AM CST
4529,CES6669,A321,Beijing Daxing International Airport (PKX / ZBAD),Mon 09:23PM CST,Tue 12:18AM CST
4530,CSZ9314,A320,Haikou Meilan Int'l (HAK / ZJHK),Mon 11:19PM CST,Tue 12:17AM CST
4531,CSZ9110,B738,Beijing Capital Int'l (PEK / ZBAA),Mon 09:09PM CST,Tue 12:14AM CST
4532,CSZ9916,B738,Qingdao Liuting Int'l (TAO / ZSQD),Mon 09:09PM CST,Tue 12:11AM CST
4533,CSN6892,A321,Hefei Xinqiao Airport (HFE / ZSOF),Mon 10:16PM CST,Tue 12:11AM CST
4534,YZR7594,787,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 09:59PM CST,Tue 12:09AM CST
4535,CQH8955,A320,Shanghai Hongqiao Int'l (SHA / ZSSS),Mon 09:50PM CST,Tue 12:07AM CST
4536,CSZ9322,B738,Sanya Phoenix Int'l (SYX / ZJSY),Mon 10:50PM CST,Tue 12:05AM CST
4537,DKH1894,A320,Yichang (YIH / ZHYC),Mon 10:26PM CST,Tue 12:03AM CST
4538,CHH7054,B738,Tangshan Sannühe (TVS / ZBTS),Mon 08:56PM CST,Mon 11:59PM CST
4539,CSZ9812,B738,Wuxi (WUX / ZSWX),Mon 09:50PM CST,Mon 11:57PM CST
4540,CDC8772,A320,Zunyi (ZYI / ZUZY),Mon 10:29PM CST,Mon 11:54PM CST
4541,CSN6924,A21N,Kunming Changshui Int'l (KMG / ZPPP),Mon 10:20PM CST,Mon 11:54PM CST
4542,CXA8078,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Mon 10:35PM CST,Mon 11:52PM CST
4543,CQH6636,A320,Qionghai Bo'ao Airport (BAR / ZJQH),Mon 10:40PM CST,Mon 11:48PM CST
4544,CQH6282,A320,Yueyang Sanhe Airport (YYA / ZGYY),Mon 10:33PM CST,Mon 11:48PM CST
4545,CHH7564,B789,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 09:45PM CST,Mon 11:44PM CST
4546,CSN6548,A330,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Mon 09:55PM CST,Mon 11:44PM CST
4547,CSZ9930,B738,Shubuling (LYI / ZSLY),Mon 09:10PM CST,Mon 11:40PM CST
4548,DKH1912,A320,Lijiang (LJG / ZPLJ),Mon 09:39PM CST,Mon 11:37PM CST
4549,CCA1307,B773,Beijing Capital Int'l (PEK / ZBAA),Mon 08:47PM CST,Mon 11:35PM CST
4550,CSN3352,A320,Changzhou Benniu (CZX / ZSCG),Mon 09:16PM CST,Mon 11:33PM CST
4551,CHH7386,B738,Taiyuan Wusu (TYN / ZBYN),Mon 08:54PM CST,Mon 11:30PM CST
4552,CSN3210,A330,Wuxi (WUX / ZSWX),Mon 09:32PM CST,Mon 11:30PM CST
4553,CHH7046,B738,Qionghai Bo'ao Airport (BAR / ZJQH),Mon 10:18PM CST,Mon 11:27PM CST
4554,UPS137,B763,Clark International (CRK / RPLC),Mon 11:25PM PST,01:23AM CST (+1) (?)
4555,EPA6218,B738,Wuxi (WUX / ZSWX),Mon 09:21PM CST,Mon 11:24PM CST
4556,CSZ9624,A320,Harbin Taiping Int'l (HRB / ZYHB),Mon 07:17PM CST,Mon 11:19PM CST
4557,CSZ9886,A319,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Mon 09:16PM CST,Mon 11:18PM CST
4558,CHH7256,A333,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 09:15PM CST,Mon 11:15PM CST
4559,YZR7524,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Mon 09:19PM CST,Mon 11:13PM CST
4560,EPA6258,B738,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 09:09PM CST,Mon 11:13PM CST
4561,CHH7713,B789,Beijing Capital Int'l (PEK / ZBAA),Mon 08:12PM CST,Mon 11:10PM CST
4562,CSN3578,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 09:06PM CST,Mon 11:04PM CST
4563,CSN3190,A330,Beijing Daxing International Airport (PKX / ZBAD),Mon 08:08PM CST,Mon 11:02PM CST
4564,CSN3370,A320,Wenzhou Int'l (WNZ / ZSWZ),Mon 09:27PM CST,Mon 11:01PM CST
4565,CSN3588,A330,Shanghai Hongqiao Int'l (SHA / ZSSS),Mon 08:38PM CST,Mon 10:59PM CST
4566,CSN6594,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Mon 08:40PM CST,Mon 10:56PM CST
4567,CSN6592,A320,Ningbo Lishe Int'l (NGB / ZSNB),Mon 09:03PM CST,Mon 10:56PM CST
4568,CHH7847,B738,Lanzhou Zhongchuan International (LHW / ZLLL),Mon 08:09PM CST,Mon 10:53PM CST
4569,CSN6990,A321,Wuhan Tianhe (WUH / ZHHH),Mon 09:15PM CST,Mon 10:51PM CST
4570,CSN3634,A320,Harbin Taiping Int'l (HRB / ZYHB),Mon 06:40PM CST,Mon 10:50PM CST
4571,CXA8383,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Mon 08:52PM CST,Mon 10:47PM CST
4572,CSZ9430,A333,Chongqing Jiangbei Int'l (CKG / ZUCK),Mon 09:12PM CST,Mon 10:46PM CST
4573,CSZ8966,A319,Ningbo Lishe Int'l (NGB / ZSNB),Mon 08:53PM CST,Mon 10:43PM CST
4574,CSZ9516,A333,Shanghai Hongqiao Int'l (SHA / ZSSS),Mon 08:36PM CST,Mon 10:41PM CST
4575,CSN8707,A320,Xinyang Minggang Airport (XAI / ZHXY),Mon 08:45PM CST,Mon 10:40PM CST
4576,CSN6642,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 08:23PM CST,Mon 10:38PM CST
4577,CES5357,A332,Shanghai Hongqiao Int'l (SHA / ZSSS),Mon 08:30PM CST,Mon 10:36PM CST
4578,CSZ9210,A319,Xi'an Xianyang Int'l (XIY / ZLXY),Mon 08:18PM CST,Mon 10:33PM CST
4579,CSN6335,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 08:29PM CST,Mon 10:32PM CST
4580,UPS145,B763,Kuala Lumpur Int'l (KUL / WMKK),Mon 10:31PM +08,01:48AM CST (+1) (?)
4581,CSZ8418,A320,Lijiang (LJG / ZPLJ),Mon 08:31PM CST,Mon 10:30PM CST
4582,CSZ9818,B738,Wuxi (WUX / ZSWX),Mon 08:19PM CST,Mon 10:29PM CST
4583,CSZ8964,A320,Penglai International (YNT / ZSYT),Mon 07:22PM CST,Mon 10:26PM CST
4584,CSN6253,A330,Haikou Meilan Int'l (HAK / ZJHK),Mon 09:26PM CST,Mon 10:22PM CST
4585,CSZ9308,B739,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 08:18PM CST,Mon 10:21PM CST
4586,THY6268,A332,Almaty (ALA / UAAA),Mon 08:19PM +06,03:48AM CST (+1) (?)
4587,CHB6448,A320,Handan (HDG / ZBHD),Mon 07:50PM CST,Mon 10:19PM CST
4588,CHH7392,B738,Ningbo Lishe Int'l (NGB / ZSNB),Mon 08:18PM CST,Mon 10:19PM CST
4589,CSN6970,A321,Nanchong (NAO / ZUNC),Mon 08:29PM CST,Mon 10:14PM CST
4590,KNA8271,B737,Kunming Changshui Int'l (KMG / ZPPP),Mon 08:36PM CST,Mon 10:11PM CST
