,标识符,机型,始发地,出发,到达
128,AMU109,A321,Shanghai Pudong Int'l (PVG / ZSPD),Thu 03:02PM CST,Thu 05:19PM CST
129,CXA8659,B738,Quanzhou Jinjiang (JJN / ZSQZ),Thu 03:01PM CST,Thu 04:11PM CST
130,AMU237,A320,Tianjin Binhai Int'l (TSN / ZBTJ),Thu 12:57PM CST,Thu 04:03PM CST
131,CES2007,A321,Shanghai Pudong Int'l (PVG / ZSPD),Thu 12:50PM CST,Thu 03:13PM CST
132,SJX203,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Thu 01:01PM CST,Thu 02:30PM CST
133,AMU181,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 12:49PM CST,Thu 02:26PM CST
134,CSH875,B738,Shanghai Pudong Int'l (PVG / ZSPD),Thu 10:12AM CST,Thu 12:35PM CST
135,AMU631,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Thu 10:18AM CST,Thu 11:48AM CST
136,PVV8641,B742,Kuwait Int'l (KWI / OKBK),Wed 06:05PM +03,Thu 05:54AM CST
137,AMU9,A321,Beijing Capital Int'l (PEK / ZBAA),Wed 08:26PM CST,Wed 11:46PM CST
138,AMU615,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Wed 09:59PM CST,Wed 11:21PM CST
139,AMU615,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Wed 09:59PM CST,Wed 11:21PM CST
140,AMU15,A320,Taiyuan Wusu (TYN / ZBYN),Wed 08:00PM CST,Wed 10:41PM CST
141,AMU107,A321,Changzhou Benniu (CZX / ZSCG),Wed 08:10PM CST,Wed 10:15PM CST
142,AMU131,A321,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 08:24PM CST,Wed 09:25PM CST
143,SJX205,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Wed 07:03PM CST,Wed 08:27PM CST
144,AMU1,A321,Beijing Capital Int'l (PEK / ZBAA),Wed 04:58PM CST,Wed 08:18PM CST
145,AMU135,A321,Shanghai Pudong Int'l (PVG / ZSPD),Wed 05:32PM CST,Wed 07:41PM CST
146,AMU127,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 05:19PM CST,Wed 07:25PM CST
147,QTR8911,B772,Hamad Int'l (DOH / OTHH),Wed 07:12AM +03,Wed 07:07PM CST
148,AMU161,A320,Ningbo Lishe Int'l (NGB / ZSNB),Wed 04:05PM CST,Wed 06:04PM CST
149,AMU197,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 03:56PM CST,Wed 05:55PM CST
150,AMU225,A321,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 03:53PM CST,Wed 05:42PM CST
151,AMU109,A321,Shanghai Pudong Int'l (PVG / ZSPD),Wed 02:40PM CST,Wed 04:57PM CST
152,CES2007,A321,Shanghai Pudong Int'l (PVG / ZSPD),Wed 12:50PM CST,Wed 03:12PM CST
153,SJX203,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Wed 01:01PM CST,Wed 02:32PM CST
154,CSH875,B738,Shanghai Pudong Int'l (PVG / ZSPD),Wed 10:09AM CST,Wed 12:30PM CST
155,SJX203,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Wed 01:01PM CST,Wed 02:32PM CST
156,CSH875,B738,Shanghai Pudong Int'l (PVG / ZSPD),Wed 10:09AM CST,Wed 12:30PM CST
157,CQH8875,A320,Shanghai Pudong Int'l (PVG / ZSPD),Wed 09:03AM CST,Wed 11:19AM CST
158,AMU9,A321,Beijing Capital Int'l (PEK / ZBAA),Tue 08:24PM CST,Tue 11:48PM CST
159,AMU131,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Tue 08:24PM CST,Tue 09:31PM CST
160,AMU1,A321,Beijing Capital Int'l (PEK / ZBAA),Tue 05:05PM CST,Tue 08:26PM CST
161,SJX205,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Tue 06:34PM CST,Tue 08:03PM CST
162,AMU135,A321,Shanghai Pudong Int'l (PVG / ZSPD),Tue 05:03PM CST,Tue 07:16PM CST
163,AMU257,A320,Wenzhou Int'l (WNZ / ZSWZ),Tue 05:22PM CST,Tue 06:56PM CST
164,AMU127,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Tue 04:33PM CST,Tue 06:39PM CST
165,AMU161,A320,Ningbo Lishe Int'l (NGB / ZSNB),Tue 04:05PM CST,Tue 06:04PM CST
166,AMU225,A321,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 03:47PM CST,Tue 05:38PM CST
167,AMU109,A321,Shanghai Pudong Int'l (PVG / ZSPD),Tue 02:41PM CST,Tue 05:03PM CST
168,CXA8659,B738,Quanzhou Jinjiang (JJN / ZSQZ),Tue 03:04PM CST,Tue 04:21PM CST
169,AMU109,A321,Shanghai Pudong Int'l (PVG / ZSPD),Tue 02:41PM CST,Tue 05:03PM CST
170,CXA8659,B738,Quanzhou Jinjiang (JJN / ZSQZ),Tue 03:04PM CST,Tue 04:21PM CST
171,CXA841,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 01:50PM CST,Tue 03:47PM CST
172,CES2007,A321,Shanghai Pudong Int'l (PVG / ZSPD),Tue 12:55PM CST,Tue 03:20PM CST
173,SJX203,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Tue 01:00PM CST,Tue 02:29PM CST
174,CSH875,B738,Shanghai Pudong Int'l (PVG / ZSPD),Tue 10:22AM CST,Tue 12:43PM CST
175,AMU631,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Tue 10:22AM CST,Tue 11:48AM CST
176,QTR8915,B772,Singapore Changi (SIN / WSSS),Tue 07:05AM +08,Tue 10:23AM CST
177,AMU9,A321,Beijing Capital Int'l (PEK / ZBAA),Mon 08:22PM CST,Mon 11:39PM CST
178,AMU615,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Mon 09:40PM CST,Mon 11:12PM CST
179,AMU15,A320,Taiyuan Wusu (TYN / ZBYN),Mon 07:59PM CST,Mon 10:40PM CST
180,AMU131,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Mon 09:30PM CST,Mon 10:33PM CST
