,标识符,机型,始发地,出发,到达
4975,CDG4897,B738,Penglai International (YNT / ZSYT),Wed 07:20AM CST,Wed 10:33AM CST
4976,CSN3766,A321,Taiyuan Wusu (TYN / ZBYN),Wed 07:58AM CST,Wed 10:32AM CST
4977,CSN3872,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 08:32AM CST,Wed 10:28AM CST
4978,CSN3146,B738,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Wed 07:51AM CST,Wed 10:28AM CST
4979,CSZ9954,A320,Nantong (NTG / ZSNT),Wed 08:11AM CST,Wed 10:27AM CST
4980,CSN3391,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Wed 08:27AM CST,Wed 10:25AM CST
4981,CSN5394,A320,Ningbo Lishe Int'l (NGB / ZSNB),Wed 08:25AM CST,Wed 10:25AM CST
4982,CSN5394,A320,Ningbo Lishe Int'l (NGB / ZSNB),Wed 08:25AM CST,Wed 10:25AM CST
4983,CES5287,A320,Hefei Xinqiao Airport (HFE / ZSOF),Wed 08:30AM CST,Wed 10:19AM CST
4984,CSN3387,A320,Changsha Huanghua Int'l (CSX / ZGHA),Wed 09:06AM CST,Wed 10:17AM CST
4985,CSN6777,A321,Haikou Meilan Int'l (HAK / ZJHK),Wed 09:03AM CST,Wed 10:16AM CST
4986,CES2947,A320,Changzhou Benniu (CZX / ZSCG),Wed 08:12AM CST,Wed 10:16AM CST
4987,CES6945,A320,Lanzhou Zhongchuan International (LHW / ZLLL),Wed 07:39AM CST,Wed 10:15AM CST
4988,CSN8218,A320,Beihai (BHY / ZGBH),Wed 09:23AM CST,Wed 10:15AM CST
4989,CQH6525,A320,Shanghai Pudong Int'l (PVG / ZSPD),Wed 08:03AM CST,Wed 10:14AM CST
4990,CES5181,A333,Beijing Capital Int'l (PEK / ZBAA),Wed 07:14AM CST,Wed 10:10AM CST
4991,DKH1077,B789,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 08:10AM CST,Wed 10:08AM CST
4992,CSN3254,B738,Yinchuan Helanshan (INC / ZLIC),Wed 07:27AM CST,Wed 10:08AM CST
4993,CSN3368,B738,Wuhan Tianhe (WUH / ZHHH),Wed 08:35AM CST,Wed 10:06AM CST
4994,CES5301,A333,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 08:05AM CST,Wed 10:03AM CST
4995,KNA8279,B737,Kunming Changshui Int'l (KMG / ZPPP),Wed 08:32AM CST,Wed 09:59AM CST
4996,CES5211,A332,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 08:06AM CST,Wed 09:50AM CST
4997,CXA8323,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Wed 08:24AM CST,Wed 09:46AM CST
4998,CSZ9222,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 07:36AM CST,Wed 09:43AM CST
4999,CSC8421,A320,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 07:44AM CST,Wed 09:37AM CST
5000,CSC8421,A320,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 07:44AM CST,Wed 09:37AM CST
5001,CHH7310,B738,Taiyuan Wusu (TYN / ZBYN),Wed 06:58AM CST,Wed 09:37AM CST
5002,CSH9301,A333,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 07:38AM CST,Wed 09:37AM CST
5003,CES5731,737,Kunming Changshui Int'l (KMG / ZPPP),Wed 08:05AM CST,Wed 09:35AM CST
5004,CQH8835,A320,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 07:34AM CST,Wed 09:35AM CST
5005,CSN6743,A321,Sanya Phoenix Int'l (SYX / ZJSY),Wed 08:27AM CST,Wed 09:32AM CST
5006,CCA1719,A333,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 07:35AM CST,Wed 09:30AM CST
5007,CSN6462,B738,Shubuling (LYI / ZSLY),Wed 07:12AM CST,Wed 09:30AM CST
5008,CSN3230,A320,Changde Taohuayuan (CGD / ZGCD),Wed 08:15AM CST,Wed 09:30AM CST
5009,CSZ9832,B738,Wuxi (WUX / ZSWX),Wed 07:16AM CST,Wed 09:28AM CST
5010,CSN3332,E190,Zhanjiang (ZHA / ZGZJ),Wed 08:52AM CST,Wed 09:22AM CST
5011,CSN3234,A320,Lianyungang (LYG / ZSLG),Wed 07:13AM CST,Wed 09:21AM CST
5012,CSN3400,B738,Mianyang Nanjiao (MIG / ZUMY),Wed 07:23AM CST,Wed 09:19AM CST
5013,CES2602,B738,Wuhan Tianhe (WUH / ZHHH),Wed 07:43AM CST,Wed 09:15AM CST
5014,CSZ9872,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 07:17AM CST,Wed 09:12AM CST
5015,THY72,B77W,Istanbul Airport (IST / LTFM),Tue 07:18PM +03,Wed 09:12AM CST
5016,CES2303,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 07:01AM CST,Wed 09:10AM CST
5017,CSN8214,A320,Yangzhou Taizhou (YTY / ZSYA),Wed 07:06AM CST,Wed 09:07AM CST
5018,CSN8214,A320,Yangzhou Taizhou (YTY / ZSYA),Wed 07:06AM CST,Wed 09:07AM CST
5019,CSN3661,B738,Guiyang Longdongbao (KWE / ZUGY),Wed 07:55AM CST,Wed 09:04AM CST
5020,CSN6470,A320,Changzhou Benniu (CZX / ZSCG),Wed 07:04AM CST,Wed 09:02AM CST
5021,UEA2235,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 07:12AM CST,Wed 09:00AM CST
5022,CSN3295,B737,Nanning Wuxu Int'l (NNG / ZGNN),Wed 08:08AM CST,Wed 08:59AM CST
5023,CSN6787,A320,Haikou Meilan Int'l (HAK / ZJHK),Wed 08:06AM CST,Wed 08:55AM CST
5024,CCA4319,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 07:27AM CST,Wed 08:53AM CST
5025,CSZ9990,A320,Hefei Xinqiao Airport (HFE / ZSOF),Wed 06:53AM CST,Wed 08:41AM CST
5026,CSZ9966,B738,Wenzhou Int'l (WNZ / ZSWZ),Wed 06:52AM CST,Wed 08:40AM CST
5027,CSN474,B77L,Los Angeles Intl (KLAX),Tue 01:38AM PST,Wed 08:39AM CST
5028,CSC8745,A321,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 07:06AM CST,Wed 08:35AM CST
5029,CES6322,B738,Wuhan Tianhe (WUH / ZHHH),Wed 07:06AM CST,Wed 08:35AM CST
5030,CSN3382,A320,Dayong (DYG / ZGDY),Wed 07:09AM CST,Wed 08:31AM CST
5031,CHH7001,B738,Haikou Meilan Int'l (HAK / ZJHK),Wed 07:34AM CST,Wed 08:30AM CST
