,标识符,机型,始发地,出发,到达
1893,CES2708,A319,Fuzhou Changle Int'l (FOC / ZSFZ),Thu 10:54AM CST,12:05PM CST (?)
1894,CSZ9859,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 09:14AM CST,Thu 10:52AM CST
1895,HXA2827,CRJ9,Tianshui Maijishan Airport (THQ / ZLTS),Thu 08:47AM CST,Thu 10:40AM CST
1896,JYH1069,B738,Guiyang Longdongbao (KWE / ZUGY),Thu 08:35AM CST,Thu 10:37AM CST
1897,CCA4523,A321,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 08:37AM CST,Thu 10:34AM CST
1898,CES2706,A320,Kunming Changshui Int'l (KMG / ZPPP),Thu 08:23AM CST,Thu 10:32AM CST
1899,CSN6451,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Thu 08:36AM CST,Thu 10:30AM CST
1900,JYH1039,B738,Haikou Meilan Int'l (HAK / ZJHK),Thu 10:25AM CST,12:35PM CST (?)
1901,CSN3559,A330,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 08:33AM CST,Thu 10:25AM CST
1902,CSN3655,B738,Guiyang Longdongbao (KWE / ZUGY),Thu 08:29AM CST,Thu 10:23AM CST
1903,CHH7091,B738,Haikou Meilan Int'l (HAK / ZJHK),Thu 08:04AM CST,Thu 10:21AM CST
1904,CCA1817,A321,Beijing Capital Int'l (PEK / ZBAA),Thu 08:46AM CST,Thu 10:16AM CST
1905,CSN6624,A321,Changchun Longjia Int'l (CGQ / ZYCC),Thu 07:55AM CST,Thu 10:13AM CST
1906,CSC8991,A321,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 08:23AM CST,Thu 10:11AM CST
1907,CSZ9857,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 08:18AM CST,Thu 10:01AM CST
1908,CDC8529,A320,Wenzhou Int'l (WNZ / ZSWZ),Thu 08:56AM CST,Thu 10:00AM CST
1909,EPA6257,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 09:58AM CST,12:08PM CST (?)
1910,CSZ9461,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 08:15AM CST,Thu 09:57AM CST
1911,KNA8315,B737,Tengchong Tuofeng (TCZ / ZPTC),Thu 07:19AM CST,Thu 09:54AM CST
1912,CSN3125,A321,Changsha Huanghua Int'l (CSX / ZGHA),Thu 08:39AM CST,Thu 09:51AM CST
1913,UEA2203,A319,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 07:48AM CST,Thu 09:49AM CST
1914,CSZ9598,A320,Yuncheng (YCU / ZBYC),Thu 08:22AM CST,Thu 09:47AM CST
1915,CES2818,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 08:00AM CST,Thu 09:44AM CST
1916,CHH7505,B738,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 08:11AM CST,Thu 09:42AM CST
1917,CXA8058,B738,Dalian Zhoushuizi Int'l (DLC / ZYTL),Thu 08:08AM CST,Thu 09:37AM CST
1918,CSN3513,A321,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 07:53AM CST,Thu 09:35AM CST
1919,CSN3265,B738,Guilin Liangjiang Int'l (KWL / ZGKL),Thu 07:56AM CST,Thu 09:30AM CST
1920,CHH7213,A333,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 07:38AM CST,Thu 09:26AM CST
1921,CES2716,A319,Kunming Changshui Int'l (KMG / ZPPP),Thu 09:25AM CST,11:34AM CST (?)
1922,CDG4727,B738,Penglai International (YNT / ZSYT),Thu 08:16AM CST,Thu 09:24AM CST
1923,CHH7425,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 07:44AM CST,Thu 09:21AM CST
1924,CHH7425,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 07:44AM CST,Thu 09:21AM CST
1925,CUA2819,737,Dongsheng (DSN / ZBDS),Thu 07:25AM CST,Thu 09:19AM CST
1926,DKH1923,A320,Huizhou Pingtan Airport (HUZ / ZGHZ),Thu 07:33AM CST,Thu 09:16AM CST
1927,OTC7113,A320,Dehong Mangshi (LUM / ZPMS),Thu 09:08AM CST,11:50AM CST (?)
1928,OTC7127,A320,Kunming Changshui Int'l (KMG / ZPPP),Thu 09:07AM CST,11:42AM CST (?)
1929,GCR6537,A320,Haikou Meilan Int'l (HAK / ZJHK),Thu 06:41AM CST,Thu 09:06AM CST
1930,HBH3243,E190,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Thu 07:33AM CST,Thu 09:02AM CST
1931,DKH1686,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 07:27AM CST,Thu 09:00AM CST
1932,CHH7459,B738,Changsha Huanghua Int'l (CSX / ZGHA),Thu 07:50AM CST,Thu 08:57AM CST
1933,CDG8413,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 07:34AM CST,Thu 08:54AM CST
1934,TBA9819,A319,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 06:55AM CST,Thu 08:52AM CST
1935,CSC8839,A321,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 07:09AM CST,Thu 08:49AM CST
1936,CXA8245,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Thu 07:36AM CST,Thu 08:47AM CST
1937,JYH1033,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 06:54AM CST,Thu 08:44AM CST
1938,CSN6337,A321,Dalian Zhoushuizi Int'l (DLC / ZYTL),Thu 07:19AM CST,Thu 08:41AM CST
1939,OKA2889,B738,Nanning Wuxu Int'l (NNG / ZGNN),Thu 06:41AM CST,Thu 08:38AM CST
1940,CXA8155,B738,Quanzhou Jinjiang (JJN / ZSQZ),Thu 07:18AM CST,Thu 08:30AM CST
1941,CBJ5129,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 06:48AM CST,Thu 08:16AM CST
1942,CDG4695,B738,Qingdao Liuting Int'l (TAO / ZSQD),Thu 07:01AM CST,Thu 08:10AM CST
1943,CQH6419,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 06:22AM CST,Thu 08:06AM CST
1944,CHB6297,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 06:19AM CST,Thu 08:02AM CST
1945,QDA9847,A320,Qingdao Liuting Int'l (TAO / ZSQD),Thu 06:37AM CST,Thu 07:40AM CST
1946,CHH798,A333,Los Angeles Intl (KLAX),Wed 02:28PM PST,08:06PM CST (+1) (?)
1947,YZR7452,B744,Anchorage Intl (PANC),Wed 12:45PM AKST,02:25PM CST (+1) (?)
1948,CCA1087,B77L,Shenyang Taoxian Int'l (SHE / ZYTX),Thu 12:45AM CST,Thu 02:14AM CST
1949,CYZ9091,73F,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Thu 01:02AM CST,Thu 01:59AM CST
1950,CES2830,A321,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 11:31PM CST,Thu 01:08AM CST
1951,CBJ5184,A320,Lanzhou Zhongchuan International (LHW / ZLLL),Wed 10:39PM CST,Thu 12:36AM CST
1952,CES2852,A320,Beijing Capital Int'l (PEK / ZBAA),Wed 11:08PM CST,Thu 12:33AM CST
1953,CSZ9568,B738,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 10:25PM CST,Thu 12:16AM CST
1954,DKH1798,A320,Qingdao Liuting Int'l (TAO / ZSQD),Wed 11:08PM CST,Thu 12:04AM CST
