,累计确诊,累计治愈,累计死亡,新增确诊,疑似病例,现有确诊
08.30,85048,80177,4634,17,0,237
08.31,85058,80208,4634,10,0,216
09.01,85066,80234,4634,8,0,198
09.02,85077,80251,4634,11,0,192
09.03,85102,80263,4634,25,0,205
09.04,85112,80284,4634,10,0,194
09.05,85122,80302,4634,10,2,186
09.06,85134,80320,4634,12,1,180
09.07,85144,80335,4634,10,1,175
09.08,85146,80347,4634,2,6,165
09.09,85153,80358,4634,7,1,161
09.10,85168,80377,4634,15,1,157
09.11,85174,80386,4634,6,1,154
09.12,85184,80399,4634,10,0,151
09.13,85194,80415,4634,10,3,145
09.14,85202,80426,4634,8,2,142
09.15,85214,80437,4634,12,0,143
09.16,85223,80448,4634,9,1,141
09.17,85255,80456,4634,32,2,165
09.18,85269,80464,4634,14,1,171
09.19,85279,80477,4634,10,2,168
09.20,85291,80484,4634,12,1,173
09.21,85297,80497,4634,6,0,166
09.22,85307,80505,4634,10,0,168
09.23,85314,80513,4634,7,0,167
09.24,85322,80522,4634,8,1,166
09.25,85337,80536,4634,15,2,167
09.26,85351,80541,4634,14,2,176
09.27,85372,80553,4634,21,0,185
09.28,85384,80566,4634,12,1,184
09.29,85403,80578,4634,19,2,191
09.30,85414,80594,4634,11,3,186
10.01,85424,80601,4634,10,3,189
10.02,85434,80611,4634,10,4,189
10.03,85450,80621,4634,16,7,195
10.04,85470,80628,4634,20,6,208
10.05,85482,80635,4634,12,4,213
10.06,85489,80650,4634,7,4,205
10.07,85500,80666,4634,11,5,200
10.08,85521,80681,4634,21,5,206
10.09,85536,80696,4634,15,4,206
10.10,85557,80705,4634,21,9,218
10.11,85578,80714,4634,21,9,230
10.12,85591,80729,4634,13,7,228
10.13,85611,80736,4634,20,5,241
10.14,85622,80748,4634,11,7,240
10.15,85646,80759,4634,24,5,253
10.16,85659,80766,4634,13,5,259
10.17,85672,80786,4634,13,4,252
10.18,85685,80802,4634,13,3,249
10.19,85704,80812,4634,19,6,258
10.20,85715,80834,4634,11,5,247
10.21,85729,80850,4634,14,5,245
10.22,85747,80865,4634,18,7,248
10.23,85775,80876,4634,28,5,265
10.24,85790,80891,4634,15,5,265
10.25,85810,80911,4634,20,6,265
10.26,85826,80928,4634,16,2,264
10.27,85868,80936,4634,42,0,298
10.28,85915,80943,4634,47,0,338
10.29,85940,80967,4634,25,6,339
10.30,85973,80984,4634,33,5,355
10.31,85997,81004,4634,24,0,359
11.01,86021,81024,4634,24,1,363
11.02,86070,81045,4634,49,2,391
11.03,86087,81061,4634,17,2,392
11.04,86115,81081,4634,28,4,400
11.05,86151,81098,4634,36,26,419
11.06,86184,81131,4634,33,23,419
11.07,86212,81168,4634,28,6,410
11.08,86245,81187,4634,33,5,424
11.09,86267,81207,4634,22,2,426
11.10,86284,81228,4634,17,1,422
11.11,86299,81252,4634,15,2,413
11.12,86307,81279,4634,8,2,394
11.13,86325,81303,4634,18,1,388
11.14,86338,81319,4634,13,2,385
11.15,86346,81338,4634,8,3,374
11.16,86361,81374,4634,15,2,353
11.17,86369,81411,4634,8,0,324
11.18,86381,81433,4634,12,0,314
11.19,86398,81453,4634,17,1,311
11.20,86414,81472,4634,16,0,308
11.21,86431,81481,4634,17,0,316
11.22,86442,81493,4634,11,0,315
11.23,86464,81508,4634,22,1,322
11.24,86469,81530,4634,5,2,305
11.25,86490,81550,4634,21,5,306
11.26,86495,81558,4634,5,4,303
11.27,86501,81582,4634,6,4,285
11.28,86512,81598,4634,11,7,280
11.29,86530,81619,4634,18,7,277
11.30,86542,81631,4634,12,6,277
12.01,86551,81649,4634,9,7,268
12.02,86567,81667,4634,16,8,266
12.03,86584,81679,4634,17,8,271
12.04,86601,81694,4634,17,8,273
12.05,86619,81706,4634,18,9,279
12.06,86634,81719,4634,15,5,281
12.07,86646,81732,4634,12,3,280
12.08,86661,81743,4634,15,3,284
12.09,86673,81754,4634,12,3,285
12.10,86688,81762,4634,15,3,292
12.11,86701,81774,4634,13,3,293
12.12,86725,81785,4634,24,2,306
12.13,86741,81794,4634,16,2,313
12.14,86758,81812,4634,17,2,312
12.15,86770,81821,4634,12,3,315
12.16,86777,81842,4634,7,4,301
12.17,86789,81851,4634,12,4,304
12.18,86806,81865,4634,17,5,307
12.19,86829,81886,4634,23,4,309
12.20,86852,81900,4634,23,7,318
12.21,86867,81909,4634,15,1,324
12.22,86882,81928,4634,15,0,320
12.23,86899,81950,4634,17,0,315
12.24,86913,81959,4634,14,0,320
12.25,86933,81971,4634,20,0,328
12.26,86955,81987,4634,22,0,334
12.27,86976,82003,4634,21,1,339
12.28,87003,82021,4634,27,0,348
12.29,87027,82037,4634,24,0,356
12.30,87052,82050,4634,25,0,368
12.31,87071,82067,4634,19,1,370
01.01,87093,82076,4634,22,1,383
01.02,87117,82088,4634,24,1,395
01.03,87150,82105,4634,33,1,411
01.04,87183,82117,4634,33,1,432
01.05,87215,82138,4634,32,3,443
01.06,87278,82159,4634,63,0,485
01.07,87331,82176,4634,53,0,521
01.08,87364,82195,4634,33,1,535
01.09,87433,82211,4634,69,1,588
01.10,87536,82229,4634,103,0,673
01.11,87591,82260,4634,55,0,697
01.12,87706,82288,4634,115,1,784
01.13,87844,82324,4635,138,1,885
01.14,87988,82352,4635,144,1,1001
01.15,88118,82370,4635,130,1,1113
01.16,88227,82387,4635,109,2,1205
01.17,88336,82400,4635,109,3,1301
01.18,88454,82432,4635,118,2,1387
01.19,88557,82449,4635,103,0,1473
01.20,291,0,0,77,54,0
01.21,440,0,9,149,37,0
01.22,571,0,17,131,393,0
01.23,830,34,25,259,1072,0
01.24,1287,38,41,444,1965,0
01.25,1975,49,56,688,2684,0
01.26,2744,51,80,769,5794,0
01.27,4515,60,106,1771,6973,0
01.28,5974,103,132,1459,9239,0
01.29,7711,124,170,1737,12167,0
01.30,9692,171,213,1982,15238,0
01.31,11791,243,259,2102,17988,0
02.01,14380,328,304,2590,19544,0
02.02,17205,475,361,2829,21558,0
02.03,20438,632,425,3235,23214,0
02.04,24324,892,490,3887,23260,0
02.05,28018,1153,563,3694,24702,0
02.06,31161,1540,636,3143,26359,28985
02.07,34546,2050,722,3399,27657,31774
02.08,37198,2649,811,2656,28942,33738
02.09,40171,3281,908,3062,23589,35982
02.10,42638,3996,1016,2478,21675,37626
02.11,44653,4740,1113,2015,16067,38800
02.12,59804,5911,1367,15152,13435,52526
02.13,63851,6723,1380,5090,10109,55748
02.14,66492,8096,1523,2641,8969,56873
02.15,68500,9419,1665,2009,8228,57416
02.16,70548,10844,1770,2048,7264,57934
02.17,72436,12552,1868,1886,6242,58016
02.18,74185,14376,2004,1749,5248,57805
02.19,74576,16155,2118,394,4922,56303
02.20,75465,18264,2236,889,5206,54965
02.21,76288,20659,2345,397,5365,53284
02.22,76936,22888,2442,648,4148,51606
02.23,77150,24734,2592,409,3434,49824
